"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: marzo 2026"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/abr/2026 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","02/03/2026","5","3938.7964","0.0173","25.6749","687.4472","20344.0184","219.062","350.7766","1994.7918","1522.8451","1961.5548","1024.7942"
"SEN","02/03/2026","6","3816.4016","0.0036","24.7427","763.0392","20412.2177","211.07","351.4837","2541.9257","1523.3793","2049.8031","1038.0763"
"SEN","02/03/2026","7","3704.204","38.8861","25.0128","785.8653","21453.9468","223.9044","352.0362","3228.204","1523.4315","2194.5147","1066.4776"
"SEN","02/03/2026","8","3506.1291","821.9985","25.2813","796.3199","22619.548","225.7288","346.1841","3310.2","1524.3607","2173.9379","1086.2266"
"SEN","02/03/2026","9","3065.9591","4253.5","24.8852","803.206","21709.9403","212.9682","356.0235","2672.9775","1524.6979","2087.2755","1060.5576"
"SEN","02/03/2026","10","3139.0782","6345.0295","26.5787","812.7082","20530.6699","276.156","353.8322","2474.4696","1525.4807","2212.9762","1058.8771"
"SEN","02/03/2026","11","3234.1583","6746.8236","26.7661","807.4947","20232.73","275.0062","355.2695","2456.151","1525.9525","2334.9718","1068.7329"
"SEN","02/03/2026","12","3251.3708","6687.3199","26.2874","793.84","20670.7142","274.9101","356.3479","2433.6255","1524.0218","2460.0893","1086.605"
"SEN","02/03/2026","13","3395.0894","6611.3022","26.9383","793.5147","20678.6435","314.0052","358.0657","2558.9411","1522.0822","2507.4133","1120.6347"
"SEN","02/03/2026","14","3616.6074","6496.0189","27.4983","781.4471","21123.3152","313.2156","356.2934","2614.8771","1521.2964","2506.6163","1135.6244"
"SEN","02/03/2026","15","3647.9338","6524.4032","23.7244","636.4956","21503.0343","310.7148","332.2091","3022.4368","1518.6389","2538.7265","1161.3001"
"SEN","02/03/2026","16","3726.2336","6404.4928","22.1622","763.3653","22006.2639","304.9561","348.0055","3310.297","1498.8283","2637.8886","1311.5105"
"SEN","02/03/2026","17","3796.5513","6055.3122","20.9043","901.6274","23033.851","349.01","354.2404","3010.4241","1489.779","2789.5749","1522.4297"
